Window;AC;Fan;Solar Radiation;Outdoor Temperature;Wind Velocity;Wind Direction;Outdoor Relative Humidity
0;0;0;0,77846959;0,046875;0,076923077;0,421768707;1
0;0;0;1;0,75;0,057692308;0,360544218;0,3
0;0;0;0,417126959;1;0,903846154;0;0,2
0;0;0;0,646681413;0,109375;0,769230769;0,051020408;0,5
0;0;0;0,582028282;0,609375;0,711538462;1;0,133333333
0;0;0;0,218890248;0,734375;1;0,979591837;0
0;0;0;0,362653985;0,375;0,211538462;0,200680272;0,8
0;0;0;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
0;0;0;0,068665153;0,71875;0;0,554421769;0,333333333
0;0;0;0,272634821;0;0,038461538;0,680272109;0,933333333
0;0;0;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
0;0;0;0;0,3125;0,019230769;0,057823129;0,7
0;0;0,333333333;0,77846959;0,046875;0,076923077;0,421768707;1
0;0;0,333333333;1;0,75;0,057692308;0,360544218;0,3
0;0;0,333333333;0,417126959;1;0,903846154;0;0,2
0;0;0,333333333;0,646681413;0,109375;0,769230769;0,051020408;0,5
0;0;0,333333333;0,582028282;0,609375;0,711538462;1;0,133333333
0;0;0,333333333;0,218890248;0,734375;1;0,979591837;0
0;0;0,333333333;0,362653985;0,375;0,211538462;0,200680272;0,8
0;0;0,333333333;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
0;0;0,333333333;0,068665153;0,71875;0;0,554421769;0,333333333
0;0;0,333333333;0,272634821;0;0,038461538;0,680272109;0,933333333
0;0;0,333333333;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
0;0;0,333333333;0;0,3125;0,019230769;0,057823129;0,7
0;0;0,666666667;0,77846959;0,046875;0,076923077;0,421768707;1
0;0;0,666666667;1;0,75;0,057692308;0,360544218;0,3
0;0;0,666666667;0,417126959;1;0,903846154;0;0,2
0;0;0,666666667;0,646681413;0,109375;0,769230769;0,051020408;0,5
0;0;0,666666667;0,582028282;0,609375;0,711538462;1;0,133333333
0;0;0,666666667;0,218890248;0,734375;1;0,979591837;0
0;0;0,666666667;0,362653985;0,375;0,211538462;0,200680272;0,8
0;0;0,666666667;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
0;0;0,666666667;0,068665153;0,71875;0;0,554421769;0,333333333
0;0;0,666666667;0,272634821;0;0,038461538;0,680272109;0,933333333
0;0;0,666666667;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
0;0;0,666666667;0;0,3125;0,019230769;0,057823129;0,7
0;0;1;0,77846959;0,046875;0,076923077;0,421768707;1
0;0;1;1;0,75;0,057692308;0,360544218;0,3
0;0;1;0,417126959;1;0,903846154;0;0,2
0;0;1;0,646681413;0,109375;0,769230769;0,051020408;0,5
0;0;1;0,582028282;0,609375;0,711538462;1;0,133333333
0;0;1;0,218890248;0,734375;1;0,979591837;0
0;0;1;0,362653985;0,375;0,211538462;0,200680272;0,8
0;0;1;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
0;0;1;0,068665153;0,71875;0;0,554421769;0,333333333
0;0;1;0,272634821;0;0,038461538;0,680272109;0,933333333
0;0;1;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
0;0;1;0;0,3125;0,019230769;0,057823129;0,7
0;1;0;0,77846959;0,046875;0,076923077;0,421768707;1
0;1;0;1;0,75;0,057692308;0,360544218;0,3
0;1;0;0,417126959;1;0,903846154;0;0,2
0;1;0;0,646681413;0,109375;0,769230769;0,051020408;0,5
0;1;0;0,582028282;0,609375;0,711538462;1;0,133333333
0;1;0;0,218890248;0,734375;1;0,979591837;0
0;1;0;0,362653985;0,375;0,211538462;0,200680272;0,8
0;1;0;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
0;1;0;0,068665153;0,71875;0;0,554421769;0,333333333
0;1;0;0,272634821;0;0,038461538;0,680272109;0,933333333
0;1;0;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
0;1;0;0;0,3125;0,019230769;0,057823129;0,7
0;1;0,333333333;0,77846959;0,046875;0,076923077;0,421768707;1
0;1;0,333333333;1;0,75;0,057692308;0,360544218;0,3
0;1;0,333333333;0,417126959;1;0,903846154;0;0,2
0;1;0,333333333;0,646681413;0,109375;0,769230769;0,051020408;0,5
0;1;0,333333333;0,582028282;0,609375;0,711538462;1;0,133333333
0;1;0,333333333;0,218890248;0,734375;1;0,979591837;0
0;1;0,333333333;0,362653985;0,375;0,211538462;0,200680272;0,8
0;1;0,333333333;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
0;1;0,333333333;0,068665153;0,71875;0;0,554421769;0,333333333
0;1;0,333333333;0,272634821;0;0,038461538;0,680272109;0,933333333
0;1;0,333333333;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
0;1;0,333333333;0;0,3125;0,019230769;0,057823129;0,7
0;1;0,666666667;0,77846959;0,046875;0,076923077;0,421768707;1
0;1;0,666666667;1;0,75;0,057692308;0,360544218;0,3
0;1;0,666666667;0,417126959;1;0,903846154;0;0,2
0;1;0,666666667;0,646681413;0,109375;0,769230769;0,051020408;0,5
0;1;0,666666667;0,582028282;0,609375;0,711538462;1;0,133333333
0;1;0,666666667;0,218890248;0,734375;1;0,979591837;0
0;1;0,666666667;0,362653985;0,375;0,211538462;0,200680272;0,8
0;1;0,666666667;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
0;1;0,666666667;0,068665153;0,71875;0;0,554421769;0,333333333
0;1;0,666666667;0,272634821;0;0,038461538;0,680272109;0,933333333
0;1;0,666666667;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
0;1;0,666666667;0;0,3125;0,019230769;0,057823129;0,7
0;1;1;0,77846959;0,046875;0,076923077;0,421768707;1
0;1;1;1;0,75;0,057692308;0,360544218;0,3
0;1;1;0,417126959;1;0,903846154;0;0,2
0;1;1;0,646681413;0,109375;0,769230769;0,051020408;0,5
0;1;1;0,582028282;0,609375;0,711538462;1;0,133333333
0;1;1;0,218890248;0,734375;1;0,979591837;0
0;1;1;0,362653985;0,375;0,211538462;0,200680272;0,8
0;1;1;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
0;1;1;0,068665153;0,71875;0;0,554421769;0,333333333
0;1;1;0,272634821;0;0,038461538;0,680272109;0,933333333
0;1;1;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
0;1;1;0;0,3125;0,019230769;0,057823129;0,7
1;0;0;0,77846959;0,046875;0,076923077;0,421768707;1
1;0;0;1;0,75;0,057692308;0,360544218;0,3
1;0;0;0,417126959;1;0,903846154;0;0,2
1;0;0;0,646681413;0,109375;0,769230769;0,051020408;0,5
1;0;0;0,582028282;0,609375;0,711538462;1;0,133333333
1;0;0;0,218890248;0,734375;1;0,979591837;0
1;0;0;0,362653985;0,375;0,211538462;0,200680272;0,8
1;0;0;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
1;0;0;0,068665153;0,71875;0;0,554421769;0,333333333
1;0;0;0,272634821;0;0,038461538;0,680272109;0,933333333
1;0;0;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
1;0;0;0;0,3125;0,019230769;0,057823129;0,7
1;0;0,333333333;0,77846959;0,046875;0,076923077;0,421768707;1
1;0;0,333333333;1;0,75;0,057692308;0,360544218;0,3
1;0;0,333333333;0,417126959;1;0,903846154;0;0,2
1;0;0,333333333;0,646681413;0,109375;0,769230769;0,051020408;0,5
1;0;0,333333333;0,582028282;0,609375;0,711538462;1;0,133333333
1;0;0,333333333;0,218890248;0,734375;1;0,979591837;0
1;0;0,333333333;0,362653985;0,375;0,211538462;0,200680272;0,8
1;0;0,333333333;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
1;0;0,333333333;0,068665153;0,71875;0;0,554421769;0,333333333
1;0;0,333333333;0,272634821;0;0,038461538;0,680272109;0,933333333
1;0;0,333333333;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
1;0;0,333333333;0;0,3125;0,019230769;0,057823129;0,7
1;0;0,666666667;0,77846959;0,046875;0,076923077;0,421768707;1
1;0;0,666666667;1;0,75;0,057692308;0,360544218;0,3
1;0;0,666666667;0,417126959;1;0,903846154;0;0,2
1;0;0,666666667;0,646681413;0,109375;0,769230769;0,051020408;0,5
1;0;0,666666667;0,582028282;0,609375;0,711538462;1;0,133333333
1;0;0,666666667;0,218890248;0,734375;1;0,979591837;0
1;0;0,666666667;0,362653985;0,375;0,211538462;0,200680272;0,8
1;0;0,666666667;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
1;0;0,666666667;0,068665153;0,71875;0;0,554421769;0,333333333
1;0;0,666666667;0,272634821;0;0,038461538;0,680272109;0,933333333
1;0;0,666666667;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
1;0;0,666666667;0;0,3125;0,019230769;0,057823129;0,7
1;0;1;0,77846959;0,046875;0,076923077;0,421768707;1
1;0;1;1;0,75;0,057692308;0,360544218;0,3
1;0;1;0,417126959;1;0,903846154;0;0,2
1;0;1;0,646681413;0,109375;0,769230769;0,051020408;0,5
1;0;1;0,582028282;0,609375;0,711538462;1;0,133333333
1;0;1;0,218890248;0,734375;1;0,979591837;0
1;0;1;0,362653985;0,375;0,211538462;0,200680272;0,8
1;0;1;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
1;0;1;0,068665153;0,71875;0;0,554421769;0,333333333
1;0;1;0,272634821;0;0,038461538;0,680272109;0,933333333
1;0;1;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
1;0;1;0;0,3125;0,019230769;0,057823129;0,7
1;1;0;0,77846959;0,046875;0,076923077;0,421768707;1
1;1;0;1;0,75;0,057692308;0,360544218;0,3
1;1;0;0,417126959;1;0,903846154;0;0,2
1;1;0;0,646681413;0,109375;0,769230769;0,051020408;0,5
1;1;0;0,582028282;0,609375;0,711538462;1;0,133333333
1;1;0;0,218890248;0,734375;1;0,979591837;0
1;1;0;0,362653985;0,375;0,211538462;0,200680272;0,8
1;1;0;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
1;1;0;0,068665153;0,71875;0;0,554421769;0,333333333
1;1;0;0,272634821;0;0,038461538;0,680272109;0,933333333
1;1;0;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
1;1;0;0;0,3125;0,019230769;0,057823129;0,7
1;1;0,333333333;0,77846959;0,046875;0,076923077;0,421768707;1
1;1;0,333333333;1;0,75;0,057692308;0,360544218;0,3
1;1;0,333333333;0,417126959;1;0,903846154;0;0,2
1;1;0,333333333;0,646681413;0,109375;0,769230769;0,051020408;0,5
1;1;0,333333333;0,582028282;0,609375;0,711538462;1;0,133333333
1;1;0,333333333;0,218890248;0,734375;1;0,979591837;0
1;1;0,333333333;0,362653985;0,375;0,211538462;0,200680272;0,8
1;1;0,333333333;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
1;1;0,333333333;0,068665153;0,71875;0;0,554421769;0,333333333
1;1;0,333333333;0,272634821;0;0,038461538;0,680272109;0,933333333
1;1;0,333333333;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
1;1;0,333333333;0;0,3125;0,019230769;0,057823129;0,7
1;1;0,666666667;0,77846959;0,046875;0,076923077;0,421768707;1
1;1;0,666666667;1;0,75;0,057692308;0,360544218;0,3
1;1;0,666666667;0,417126959;1;0,903846154;0;0,2
1;1;0,666666667;0,646681413;0,109375;0,769230769;0,051020408;0,5
1;1;0,666666667;0,582028282;0,609375;0,711538462;1;0,133333333
1;1;0,666666667;0,218890248;0,734375;1;0,979591837;0
1;1;0,666666667;0,362653985;0,375;0,211538462;0,200680272;0,8
1;1;0,666666667;0,367101186;0,734375;0,153846154;0,394557823;0,366666667
1;1;0,666666667;0,068665153;0,71875;0;0,554421769;0,333333333
1;1;0,666666667;0,272634821;0;0,038461538;0,680272109;0,933333333
1;1;0,666666667;0,223267634;0,21875;0,173076923;0,741496599;0,666666667
