Air Velocity;Indoor Temperature;Indoor Relative Humidity
0,028348089;0,563262507;0,79482943
0,031115448;0,571165103;0,789333188
0,03284147;0,574573369;0,786970739
0,033463509;0,574137778;0,787272401
0,033828145;0,571431358;0,789148459
0,03356228;0,567846619;0,791638033
0,034186506;0,565611346;0,793193111
0,03290168;0,558903623;0,79787211
0,032787312;0,55265575;0,802247124
0,020349277;0,541346672;0,810207374
0,032678479;0,533835431;0,815523713
0,032653697;0,522687484;0,82345719
0,03305082;0,512545809;0,830719325
0,031623888;0,499696763;0,839981383
0,003104434;0,677163585;0,718115108
0,002803982;0,690157948;0,709705125
0,002772421;0,696269304;0,705774054
0,002569277;0,696482284;0,705637336
0,002443019;0,693150362;0,707778348
0,002414684;0,68858052;0,710722305
0,00206667;0,682998579;0,714330022
0,002168612;0,675354151;0,719291732
0,002139123;0,667840056;0,724192468
0,002537382;0,657704208;0,730840225
0,002254008;0,646577785;0,738186724
0,002375058;0,632586783;0,747497509
0,002520047;0,618209422;0,75714999
0,002646946;0,598728402;0,770365678
0,01756796;0,733481726;0,682171846
0,003831034;0,72038117;0,690415449
0,003294707;0,724249881;0,687973634
0,003000508;0,723416514;0,688499106
0,002801786;0,719593348;0,69091346
0,002776247;0,714863564;0,693908739
0,002454595;0,708949846;0,697666833
0,002656643;0,700903956;0,702803187
0,002609813;0,693055705;0,70783924
0,002916371;0,682630771;0,714568198
0,002774741;0,671135826;0,722040065
0,002998409;0,656621473;0,731552873
0,003249343;0,641537271;0,741531749
0,003263309;0,62082725;0,755386083
0;0,112135405;0,990095078
0,003902798;0,75477099;0,668927274
0,003310529;0,750964829;0,67128138
0,003062206;0,747885605;0,673190273
0,002830258;0,743123237;0,676150337
0,002753451;0,738140874;0,679257208
0,002562572;0,732214195;0,682966337
0,002687427;0,724053074;0,688097702
0,002647933;0,715666369;0,693399685
0,002783408;0,704376793;0,700582896
0,002754435;0,692089984;0,708460687
0,003002206;0,676636784;0,718457531
0,003262086;0,660513134;0,728993678
0,003252395;0,638921466;0,743271823
0;0,112135405;0,990095078
0,003212556;0,780403679;0,653229966
0,00284547;0,772522963;0,658027058
0,002737459;0,767475672;0,661112941
0,002558611;0,761605478;0,664715231
0,002411945;0,756281705;0,667994564
0,002152053;0,751503402;0,670947909
0,002228589;0,74394935;0,67563619
0,0020847;0,734865795;0,68130507
0,002204605;0,721136528;0,689938202
0,002275902;0,707264205;0,698740693
0,002528817;0,690795221;0,709294482
0,002878498;0,672896861;0,720891814
0,002865452;0,65133064;0,735042251
0;0,112135761;0,990095078
0,003165363;0,805247238;0,638275964
0,002669225;0,800346571;0,641205539
0,00263951;0,794611584;0,644646511
0,002524517;0,787317008;0,649042942
0,002573028;0,780516531;0,653161458
0,00202844;0,772254688;0,658190814
0,002217665;0,763268406;0,663693311
0,002165812;0,755030466;0,668767007
0,003205433;0,74356965;0,675872469
0,002830962;0,728630289;0,685216343
0,002963702;0,708529952;0,697934222
0,003008489;0,688251835;0,710934383
0,002715368;0,662651372;0,727590226
0;0,112135405;0,990095078
0,003112072;0,827955058;0,62483144
0,002824303;0,821926942;0,62837963
0,002790026;0,815907984;0,631937467
0,002572035;0,808029409;0,636617239
0,002420436;0,800592371;0,641058364
0,001921804;0,791899694;0,646278387
0,002101734;0,781204819;0,652743743
0,002125851;0,771280167;0,658785916
0,002647582;0,7574698;0,667261703
0,00248732;0,740876904;0,677549817
0,00267947;0,719348618;0,691068215
0,002773069;0,698117266;0,70458842
0,002716567;0,672335337;0,721257806
0;0,112135405;0,990095078
0,003052548;0,84641292;0,614060739
0,002862638;0,839591274;0,618024907
0,002799241;0,832669858;0,622066779
0,002464504;0,823730549;0,627316435
0,002235735;0,815475128;0,63219391
0,001869512;0,80594504;0,637859634
0,002013813;0,793761569;0,645157679
0,002049352;0,781735306;0,652421931
0,00228228;0,765384049;0,662394842
0,002242335;0,747314093;0,673545002
0,002453122;0,724936029;0,687541205
0,002601551;0,703467082;0,701164019
0,002647528;0,677999687;0,717571872
0;0,112135405;0,990095078
0,002975066;0,863161357;0,604409815
0,002709815;0,855293247;0,608929153
0,002820132;0,845946767;0,614331014
0,002404444;0,83401861;0,621277596
0,002127614;0,824478653;0,626875836
0,00185454;0,814429495;0,632813709
0,002081159;0,801379479;0,640587247
0,002007628;0,78750787;0,648927629
0,002157968;0,767795081;0,660917343
0,002144042;0,74912198;0,672423339
0,002371438;0,726903503;0,686302335
0,002589775;0,705324558;0,69997783
0,002555513;0,680392049;0,7160191
0;0,112135405;0,990095078
0,004694704;0,881562259;0,593940819
0,004185431;0,872154061;0,599275968
0,003843035;0,856956294;0,607971781
0,002484221;0,835365577;0,620490209
0,002187631;0,825396688;0,626335473
0,001775506;0,817194184;0,631175925
0,002892437;0,804637553;0,638639885
0,002205768;0,783927769;0,651093141
0,002550899;0,763556303;0,663516507
0,002355437;0,746549103;0,674020031
0,002630757;0,726152782;0,686774856
0,002693186;0,705959215;0,699572864
0,002567991;0,681627948;0,715217864
0;0,112135405;0,990095078
0;0,11213588;0,990095078
0;0,112135405;0,990095078
0;0,112135405;0,990095078
0,002191201;0,819094589;0,630051977
0,002426453;0,813293604;0,633487521
0,002144786;0,8086976;0,636219343
0,005615941;0,811974701;0,634270569
0,003446725;0,766733514;0,661567583
0,003465655;0,751276033;0,671088675
0,00323881;0,736519923;0,68027021
0,003373801;0,717719462;0,692099045
0,003159133;0,699204282;0,703891663
0,002998088;0,676789473;0,718358271
0,028842135;0,640137981;0,742462225
0,032963045;0,641488873;0,741563919
0,034918074;0,638649979;0,743452583
0,035665746;0,633655962;0,746783123
0,036063981;0,626233907;0,751752046
0,03573058;0,619010919;0,756609635
0,036416842;0,613888829;0,760067445
0,034684135;0,603445225;0,767151401
0,034329118;0,594580475;0,773199907
0,02142451;0,580845501;0,782635784
0,034028964;0,571419228;0,789156874
0,033978227;0,558536409;0,798128801
0,034381917;0,54706608;0,806174959
0,032927713;0,532873158;0,816206485
0,004694142;0,766190541;0,661900349
0,003561776;0,774565473;0,656781283
0,003290493;0,774402082;0,656880876
0,003043384;0,769104352;0,660116021
0,002865339;0,760016634;0,665692695
0,002763893;0,751024049;0,671244706
0,002417811;0,741252205;0,677315856
0,002425897;0,729556529;0,684634331
0,002376066;0,719158114;0,691188698
0,00268505;0,706117017;0,699472198
0,002408946;0,692601801;0,708131282
0,002498827;0,676410962;0,718604352
0,002629937;0,660338922;0,729108108
0,002761123;0,639132305;0,743131465
0,025720369;0,853646135;0,609878483
0,004201571;0,807413303;0,636984284
0,003674514;0,804227291;0,638884858
0,003359852;0,797729694;0,642773964
0,003106885;0,788059761;0,648594277
0,003007167;0,778857645;0,654169025
0,002687606;0,768692544;0,660367986
0,00282356;0,75650396;0,667857424
0,0027696;0,745681607;0,674559006
0,002996038;0,732219783;0,682962833
0,002865301;0,718238414;0,691770565
0,003059794;0,701502224;0,702420339
0,003309688;0,684811105;0,713157135
0,003347165;0,662619978;0,727610818
0;0,112135405;0,990095078
0,004618942;0,843829578;0,61555969
0,00370565;0,832227965;0,622325504
0,003435258;0,823242872;0,627603779
